Country Name,Country Code,Series Name,Series Code,Scale (Precision),2019Q2 [YR2019Q2],2019Q3 [YR2019Q3],2019Q4 [YR2019Q4],2020Q1 [YR2020Q1],2020Q2 [YR2020Q2]
Argentina,ARG,"Gross Ext. Debt Pos., General Government, All maturities, All instruments, USD",DT.DOD.DECT.CD.GG.AR.US,Millions (0),175969,171928,172898,170282,167275
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, All instruments, USD",DT.DOD.DSTC.CD.GG.AR.US,Millions (0),8785,6969,7182,4182,3412
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.GG.AR.US,Millions (0),8785,6927,7140,4140,3370
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Loans, USD",DT.DOD.DSTL.CD.GG.AR.US,Millions (0),,42,42,42,42
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, All instruments, USD",DT.DOD.DLXF.CD.GG.AR.US,Millions (0),167184,164959,165716,166100,163863
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Special drawing rights (allocations), USD",DT.DOD.DLTS.CD.GG.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.GG.AR.US,Millions (0),96101,91933,91740,93052,89664
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Loans, USD",DT.DOD.DLTL.CD.GG.AR.US,Millions (0),71084,73025,73976,73047,74200
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.GG.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, USD",DT.DOD.DECT.CD.MA.AR.US,Millions (0),23778,22987,24503,23159,23721
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, All instruments, USD",DT.DOD.DSTC.CD.MA.AR.US,Millions (0),21432,20686,22170,20856,21400
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.MA.AR.US,Millions (0),0,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Loans, USD",DT.DOD.DSTL.CD.MA.AR.US,Millions (0),21432,20686,22170,20856,21400
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, USD",DT.DOD.DLXF.CD.MA.AR.US,Millions (0),2346,2301,2333,2303,2321
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Special drawing rights (allocations), USD",DT.DOD.DLTS.CD.MA.AR.US,Millions (0),2346,2301,2333,2303,2321
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Loans, USD",DT.DOD.DLTL.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, All maturities, All instruments, USD",DT.DOD.DECT.CD.CB.AR.US,Millions (0),5185,4997,4819,4412,3821
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, All instruments, USD",DT.DOD.DSTC.CD.CB.AR.US,Millions (0),3332,3304,3205,2877,1828
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.CB.AR.US,Millions (0),698,892,1132,1044,882
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.CB.AR.US,Millions (0),189,171,167,162,98
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, USD",DT.DOD.DSTL.CD.CB.AR.US,Millions (0),2137,2060,1755,1523,766
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.CB.AR.US,Millions (0),6,12,58,48,26
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.CB.AR.US,Millions (0),301,168,93,101,56
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, All instruments, USD",DT.DOD.DLXF.CD.CB.AR.US,Millions (0),1853,1693,1614,1535,1993
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.CB.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.CB.AR.US,Millions (0),1509,1361,1331,1290,1322
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, USD",DT.DOD.DLTL.CD.CB.AR.US,Millions (0),345,332,283,246,671
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.CB.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.CB.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.OT.AR.US,Millions (0),54468,53827,53336,53970,53171
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, USD",DT.DOD.DSTC.CD.OT.AR.US,Millions (0),33025,32918,32552,32917,25131
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.OT.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.OT.AR.US,Millions (0),1005,963,961,948,734
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, USD",DT.DOD.DSTL.CD.OT.AR.US,Millions (0),4907,4929,4854,5218,3981
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.OT.AR.US,Millions (0),26596,26601,26334,26359,20031
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.OT.AR.US,Millions (0),517,425,403,392,385
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, USD",DT.DOD.DLXF.CD.OT.AR.US,Millions (0),21443,20909,20784,21053,28039
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.OT.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.OT.AR.US,Millions (0),13650,13078,13047,12882,12650
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, USD",DT.DOD.DLTL.CD.OT.AR.US,Millions (0),5732,5770,5697,6129,8310
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.OT.AR.US,Millions (0),2060,2060,2039,2041,7079
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.OT.AR.US,Millions (0),1,0,0,0,0
Argentina,ARG,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, USD",DT.DOD.DECT.CD.IL.US,Millions (0),23729,23076,22933,22851,22838
Argentina,ARG,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, USD",DT.DOD.DIDI.CD.IL.US,Millions (0),23729,23076,22933,22851,22838
Argentina,ARG,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of dir. investors to DI ent., USD",DT.DOD.DIIE.CD.IL.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. to fellow ent., USD",DT.DOD.DIFE.CD.IL.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Millions (0),283130,276815,278489,274674,270825
Argentina,ARG,"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.AR.US,Millions (0),2775,2739,2763,2750,2765
Argentina,ARG,"Gross Ext. Debt Pos., General Government, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.GG.AR.US,Millions (0),2775,2739,2763,2750,2765
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.MA.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.CB.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.OT.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.IL.AR.US,Millions (0),,,,,
Argentina,ARG,"Gross Ext. Debt Pos., All Sectors, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.DS.US,Millions (0),94887,56044,64165,43106,51649
Argentina,ARG,"Gross Ext. Debt Pos., General Government, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.GG.DS.US,Millions (0),79657,43875,50676,32723,40244
Argentina,ARG,"Gross Ext. Debt Pos., Central Bank, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.MA.DS.US,Millions (0),0,0,0,0,0
Argentina,ARG,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.CB.DS.US,Millions (0),1507,1085,1221,1079,1211
Argentina,ARG,"Gross Ext. Debt Pos., Other Sectors, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.OT.DS.US,Millions (0),13723,11083,12268,9304,10194
Armenia,ARM,"Gross Ext. Debt Pos., General Government, All maturities, All instruments, USD",DT.DOD.DECT.CD.GG.AR.US,Millions (0),5081,5152,5428,5229,5603
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Short-term, All instruments, USD",DT.DOD.DSTC.CD.GG.AR.US,Millions (0),0,1,1,1,1
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.GG.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.GG.AR.US,Millions (0),0,1,1,1,1
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Short-term, Loans, USD",DT.DOD.DSTL.CD.GG.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.GG.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.GG.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Long-term, All instruments, USD",DT.DOD.DLXF.CD.GG.AR.US,Millions (0),5081,5151,5427,5228,5602
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Long-term, Special drawing rights (allocations), USD",DT.DOD.DLTS.CD.GG.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.GG.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.GG.AR.US,Millions (0),917,1045,1070,925,1015
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Long-term, Loans, USD",DT.DOD.DLTL.CD.GG.AR.US,Millions (0),4164,4106,4357,4303,4587
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.GG.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.GG.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, USD",DT.DOD.DECT.CD.MA.AR.US,Millions (0),653,638,617,623,599
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Short-term, All instruments, USD",DT.DOD.DSTC.CD.MA.AR.US,Millions (0),1,1,3,1,1
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.MA.AR.US,Millions (0),1,1,1,0,1
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.MA.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Short-term, Loans, USD",DT.DOD.DSTL.CD.MA.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.MA.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.MA.AR.US,Millions (0),0,0,1,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Long-term, All instruments, USD",DT.DOD.DLXF.CD.MA.AR.US,Millions (0),652,637,614,623,598
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Long-term, Special drawing rights (allocations), USD",DT.DOD.DLTS.CD.MA.AR.US,Millions (0),123,120,122,121,121
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.MA.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.MA.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Long-term, Loans, USD",DT.DOD.DLTL.CD.MA.AR.US,Millions (0),530,517,492,502,476
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.MA.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.MA.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, All maturities, All instruments, USD",DT.DOD.DECT.CD.CB.AR.US,Millions (0),2828,2916,3271,3183,3140
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, All instruments, USD",DT.DOD.DSTC.CD.CB.AR.US,Millions (0),1137,1242,1514,1153,1328
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.CB.AR.US,Millions (0),902,1073,1340,1025,1190
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.CB.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Loans, USD",DT.DOD.DSTL.CD.CB.AR.US,Millions (0),163,112,119,87,87
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.CB.AR.US,Millions (0),12,14,18,19,22
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.CB.AR.US,Millions (0),60,43,37,23,30
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, All instruments, USD",DT.DOD.DLXF.CD.CB.AR.US,Millions (0),1691,1674,1757,2029,1812
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.CB.AR.US,Millions (0),513,522,549,547,387
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.CB.AR.US,Millions (0),54,56,49,53,49
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Loans, USD",DT.DOD.DLTL.CD.CB.AR.US,Millions (0),1124,1096,1159,1429,1376
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.CB.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.CB.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.OT.AR.US,Millions (0),1040,1080,1125,1102,1217
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Short-term, All instruments, USD",DT.DOD.DSTC.CD.OT.AR.US,Millions (0),130,159,140,137,181
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.OT.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.OT.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Short-term, Loans, USD",DT.DOD.DSTL.CD.OT.AR.US,Millions (0),0,12,12,11,12
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.OT.AR.US,Millions (0),121,139,117,114,158
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.OT.AR.US,Millions (0),9,8,11,12,10
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Long-term, All instruments, USD",DT.DOD.DLXF.CD.OT.AR.US,Millions (0),910,921,985,966,1036
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.OT.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.OT.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Long-term, Loans, USD",DT.DOD.DLTL.CD.OT.AR.US,Millions (0),869,885,948,929,1000
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.OT.AR.US,Millions (0),19,18,18,18,15
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.OT.AR.US,Millions (0),22,18,19,18,20
Armenia,ARM,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, USD",DT.DOD.DECT.CD.IL.US,Millions (0),1863,1880,1900,1848,1990
Armenia,ARM,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of DI ent. to dir. investors, USD",DT.DOD.DIDI.CD.IL.US,Millions (0),966,943,1085,1075,1197
Armenia,ARM,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. of dir. investors to DI ent., USD",DT.DOD.DIIE.CD.IL.US,Millions (0),37,37,36,35,36
Armenia,ARM,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, Debt liab. to fellow ent., USD",DT.DOD.DIFE.CD.IL.US,Millions (0),860,901,779,738,756
Armenia,ARM,"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, USD",DT.DOD.DECT.CD.AR.US,Millions (0),11465,11666,12341,11985,12548
Armenia,ARM,"Gross Ext. Debt Pos., All Sectors, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.AR.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., General Government, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.GG.AR.US,Millions (0),,,,,
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.MA.AR.US,Millions (0),,,,,
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.CB.AR.US,Millions (0),,,,,
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.OT.AR.US,Millions (0),,,,,
Armenia,ARM,"Gross Ext. Debt Pos., DI: Intercom Lending, All maturities, All instruments, Arrears, USD",DT.DOD.DECT.IL.AR.US,Millions (0),,,,,
Armenia,ARM,"Gross Ext. Debt Pos., All Sectors, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.DS.US,Millions (0),0,0,0,0,0
Armenia,ARM,"Gross Ext. Debt Pos., General Government, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.GG.DS.US,Millions (0),,,,,
Armenia,ARM,"Gross Ext. Debt Pos., Central Bank, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.MA.DS.US,Millions (0),,,,,
Armenia,ARM,"Gross Ext. Debt Pos., Deposit-Taking Corp., exc. CB, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.CB.DS.US,Millions (0),,,,,
Armenia,ARM,"Gross Ext. Debt Pos., Other Sectors, All maturities, Debt Securities, Memo item, USD",DT.DOD.DECT.OT.DS.US,Millions (0),,,,,
Australia,AUS,"Gross Ext. Debt Pos., General Government, All maturities, All instruments, USD",DT.DOD.DECT.CD.GG.AR.US,Millions (0),244699,252637,262453,221148,257035
Australia,AUS,"Gross Ext. Debt Pos., General Government, Short-term, All instruments, USD",DT.DOD.DSTC.CD.GG.AR.US,Millions (0),984,2478,4011,4058,3567
Australia,AUS,"Gross Ext. Debt Pos., General Government, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.GG.AR.US,Millions (0),0,0,0,0,0
Australia,AUS,"Gross Ext. Debt Pos., General Government, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.GG.AR.US,Millions (0),981,2474,4001,4054,3563
Australia,AUS,"Gross Ext. Debt Pos., General Government, Short-term, Loans, USD",DT.DOD.DSTL.CD.GG.AR.US,Millions (0),0,0,0,0,0
Australia,AUS,"Gross Ext. Debt Pos., General Government, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.GG.AR.US,Millions (0),3,4,9,4,4
Australia,AUS,"Gross Ext. Debt Pos., General Government, Short-term, Other debt liabilities, USD",DT.DOD.DSOO.CD.GG.AR.US,Millions (0),0,0,0,0,0
Australia,AUS,"Gross Ext. Debt Pos., General Government, Long-term, All instruments, USD",DT.DOD.DLXF.CD.GG.AR.US,Millions (0),243715,250159,258442,217090,253468
Australia,AUS,"Gross Ext. Debt Pos., General Government, Long-term, Special drawing rights (allocations), USD",DT.DOD.DLTS.CD.GG.US,Millions (0),0,0,0,0,0
Australia,AUS,"Gross Ext. Debt Pos., General Government, Long-term, Currency and deposits, USD",DT.DOD.DLCD.CD.GG.AR.US,Millions (0),0,0,0,0,0
Australia,AUS,"Gross Ext. Debt Pos., General Government, Long-term, Debt securities, USD",DT.DOD.DLBN.CD.GG.AR.US,Millions (0),239433,245898,254123,212815,249158
Australia,AUS,"Gross Ext. Debt Pos., General Government, Long-term, Loans, USD",DT.DOD.DLTL.CD.GG.AR.US,Millions (0),0,0,0,0,0
Australia,AUS,"Gross Ext. Debt Pos., General Government, Long-term, Trade credit and advances, USD",DT.DOD.DLTT.CD.GG.AR.US,Millions (0),0,0,0,0,0
Australia,AUS,"Gross Ext. Debt Pos., General Government, Long-term, Other debt liabilities, USD",DT.DOD.DLTO.CD.GG.AR.US,Millions (0),55,54,56,49,55
Australia,AUS,"Gross Ext. Debt Pos., Central Bank, All maturities, All instruments, USD",DT.DOD.DECT.CD.MA.AR.US,Millions (0),5308,4581,4706,4683,6026
Australia,AUS,"Gross Ext. Debt Pos., Central Bank, Short-term, All instruments, USD",DT.DOD.DSTC.CD.MA.AR.US,Millions (0),1021,377,442,475,1784
Australia,AUS,"Gross Ext. Debt Pos., Central Bank, Short-term, Currency and deposits, USD",DT.DOD.DSCD.CD.MA.AR.US,Millions (0),1021,377,442,475,1784
Australia,AUS,"Gross Ext. Debt Pos., Central Bank, Short-term, Debt securities, USD",DT.DOD.DSTM.CD.MA.AR.US,Millions (0),0,0,0,0,0
Australia,AUS,"Gross Ext. Debt Pos., Central Bank, Short-term, Loans, USD",DT.DOD.DSTL.CD.MA.AR.US,Millions (0),0,0,0,0,0
Australia,AUS,"Gross Ext. Debt Pos., Central Bank, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.MA.AR.US,Millions (0),0,0,0,0,0
